dataset,instancia,n,m,nist,archivo
angulos_variables,angulos_variables_6,6,10,1,instancias/angulos_variables/angulos_variables_6.txt
angulos_variables,angulos_variables_8,8,10,1,instancias/angulos_variables/angulos_variables_8.txt
angulos_variables,angulos_variables_10,10,10,1,instancias/angulos_variables/angulos_variables_10.txt
angulos_variables,angulos_variables_12,12,10,1,instancias/angulos_variables/angulos_variables_12.txt
angulos_variables,angulos_variables_14,14,10,1,instancias/angulos_variables/angulos_variables_14.txt
angulos_variables,angulos_variables_16,16,10,1,instancias/angulos_variables/angulos_variables_16.txt
angulos_variables,angulos_variables_18,18,10,1,instancias/angulos_variables/angulos_variables_18.txt
angulos_variables,angulos_variables_20,20,10,1,instancias/angulos_variables/angulos_variables_20.txt
angulos_variables,angulos_variables_22,22,10,1,instancias/angulos_variables/angulos_variables_22.txt
angulos_variables,angulos_variables_24,24,10,1,instancias/angulos_variables/angulos_variables_24.txt
angulos_variables,angulos_variables_26,26,10,1,instancias/angulos_variables/angulos_variables_26.txt
angulos_variables,angulos_variables_28,28,10,1,instancias/angulos_variables/angulos_variables_28.txt
angulos_variables,angulos_variables_30,30,10,1,instancias/angulos_variables/angulos_variables_30.txt
angulos_variables,angulos_variables_32,32,10,1,instancias/angulos_variables/angulos_variables_32.txt
angulos_variables,angulos_variables_34,34,10,1,instancias/angulos_variables/angulos_variables_34.txt
angulos_variables,angulos_variables_36,36,10,1,instancias/angulos_variables/angulos_variables_36.txt
angulos_variables,angulos_variables_38,38,10,1,instancias/angulos_variables/angulos_variables_38.txt
angulos_variables,angulos_variables_40,40,10,1,instancias/angulos_variables/angulos_variables_40.txt
angulos_variables,angulos_variables_42,42,10,1,instancias/angulos_variables/angulos_variables_42.txt
angulos_variables,angulos_variables_44,44,10,1,instancias/angulos_variables/angulos_variables_44.txt
angulos_variables,angulos_variables_46,46,10,1,instancias/angulos_variables/angulos_variables_46.txt
angulos_variables,angulos_variables_48,48,10,1,instancias/angulos_variables/angulos_variables_48.txt
angulos_variables,angulos_variables_50,50,10,1,instancias/angulos_variables/angulos_variables_50.txt
angulos_variables,angulos_variables_52,52,10,1,instancias/angulos_variables/angulos_variables_52.txt
angulos_variables,angulos_variables_54,54,10,1,instancias/angulos_variables/angulos_variables_54.txt
angulos_variables,angulos_variables_56,56,10,1,instancias/angulos_variables/angulos_variables_56.txt
angulos_variables,angulos_variables_58,58,10,1,instancias/angulos_variables/angulos_variables_58.txt
