dataset,metodo,n,m,nist,tiempo
angulos_variables,LU,6,10,1,0.00392111
angulos_variables,LU,8,10,1,0.00941649
angulos_variables,LU,10,10,1,0.0128391
angulos_variables,LU,12,10,1,0.020127
angulos_variables,LU,14,10,1,0.04256
angulos_variables,LU,16,10,1,0.0440907
angulos_variables,LU,18,10,1,0.0746048
angulos_variables,LU,20,10,1,0.0578884
angulos_variables,LU,22,10,1,0.0884815
angulos_variables,LU,24,10,1,0.120349
angulos_variables,LU,26,10,1,0.149915
angulos_variables,LU,28,10,1,0.169969
angulos_variables,LU,30,10,1,0.247545
angulos_variables,LU,32,10,1,0.255935
angulos_variables,LU,34,10,1,0.344469
angulos_variables,LU,36,10,1,0.370899
angulos_variables,LU,38,10,1,0.454561
angulos_variables,LU,40,10,1,0.434962
angulos_variables,LU,42,10,1,0.559551
angulos_variables,LU,44,10,1,0.542457
angulos_variables,LU,46,10,1,0.629018
angulos_variables,LU,48,10,1,0.713765
angulos_variables,LU,50,10,1,0.809821
angulos_variables,LU,52,10,1,0.965519
angulos_variables,LU,54,10,1,1.07805
angulos_variables,LU,56,10,1,1.17035
angulos_variables,LU,58,10,1,1.35381
radios_variables,LU,10,6,1,0.00356684
radios_variables,LU,10,8,1,0.0068374
radios_variables,LU,10,10,1,0.0152205
radios_variables,LU,10,12,1,0.0165014
radios_variables,LU,10,14,1,0.0234578
radios_variables,LU,10,16,1,0.034298
radios_variables,LU,10,18,1,0.0440973
radios_variables,LU,10,20,1,0.0789574
radios_variables,LU,10,22,1,0.0787436
radios_variables,LU,10,24,1,0.114322
radios_variables,LU,10,26,1,0.112377
radios_variables,LU,10,28,1,0.159648
radios_variables,LU,10,30,1,0.18738
radios_variables,LU,10,32,1,0.21748
radios_variables,LU,10,34,1,0.263573
radios_variables,LU,10,36,1,0.345458
radios_variables,LU,10,38,1,0.412086
radios_variables,LU,10,40,1,0.420846
radios_variables,LU,10,42,1,0.503209
radios_variables,LU,10,44,1,0.550114
radios_variables,LU,10,46,1,0.629853
radios_variables,LU,10,48,1,0.710638
radios_variables,LU,10,50,1,0.80086
radios_variables,LU,10,52,1,0.903233
radios_variables,LU,10,54,1,1.03133
radios_variables,LU,10,56,1,1.13026
radios_variables,LU,10,58,1,1.29249
muchos_nist,LU,30,30,1,4.86511
muchos_nist,GAUSS,30,30,1,4.79154
muchos_nist,LU,30,30,2,4.95149
muchos_nist,GAUSS,30,30,2,9.6111
muchos_nist,LU,30,30,3,3.88738
muchos_nist,GAUSS,30,30,3,11.7409
muchos_nist,LU,30,30,4,3.93991
muchos_nist,GAUSS,30,30,4,15.6374
